"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US06001","Alameda County, California","1671329","*****","649209","10221","178246","3412","12648","2525","520313","5941","13503","885","191329","10925","106081","8046","20104","3010","85977","7120"
"0500000US06007","Butte County, California","219186","*****","175765","3185","3984","1109","2333","1140","10365","1523","798","498","12272","3364","13669","2499","1491","1060","12178","2276"
"0500000US06013","Contra Costa County, California","1153526","*****","600481","9082","101590","3387","5863","1860","205366","4366","4625","1525","162355","10235","73246","6710","17040","3747","56206","5727"
"0500000US06017","El Dorado County, California","192843","*****","167011","2344","1644","463","2540","1123","10114","885","125","153","4845","2274","6564","1397","1078","687","5486","1264"
"0500000US06019","Fresno County, California","999101","*****","638792","12728","47391","2890","13588","3115","104859","3713","1953","304","152697","12404","39821","3741","9428","2483","30393","3880"
"0500000US06023","Humboldt County, California","135558","*****","106738","1981","2059","644","7073","1584","3525","764","539","721","4906","1822","10718","2476","1372","1227","9346","2254"
"0500000US06025","Imperial County, California","181215","*****","125807","6014","3979","877","3791","1540","2589","378","0","216","41162","5837","3887","1590","2128","1212","1759","849"
"0500000US06029","Kern County, California","900202","*****","645240","12102","46432","3427","8906","2818","42066","2848","907","467","122148","12288","34503","6000","9236","3366","25267","5175"
"0500000US06031","Kings County, California","152940","*****","115128","3706","8635","988","2804","1341","5104","885","460","661","13840","3202","6969","2008","303","212","6666","2027"
"0500000US06033","Lake County, California","64386","*****","50669","2577","1247","454","2540","1251","499","425","27","50","6062","2539","3342","1748","336","379","3006","1748"
"0500000US06037","Los Angeles County, California","10039107","*****","5234081","34078","811176","9999","81491","9004","1474713","9381","26307","2362","1997842","37344","413497","15421","119327","8373","294170","12386"
"0500000US06039","Madera County, California","157327","*****","107073","6008","4138","1439","1810","661","3838","586","1131","1296","35503","6007","3834","1240","751","298","3083","1166"
"0500000US06041","Marin County, California","258826","*****","204109","3833","7058","1175","1534","1450","16663","1503","273","279","18564","3812","10625","2130","714","497","9911","1966"
"0500000US06045","Mendocino County, California","86749","*****","73467","2048","823","693","4610","1238","1954","270","135","166","2696","1651","3064","954","189","178","2875","970"
"0500000US06047","Merced County, California","277680","*****","141038","8057","9337","907","2821","1107","20581","1225","34","58","95138","8140","8731","2167","3429","1495","5302","1648"
"0500000US06053","Monterey County, California","434061","*****","196483","7837","12231","1095","2057","800","26860","1993","1288","897","178002","7908","17140","2512","3416","1460","13724","2154"
"0500000US06055","Napa County, California","137744","*****","101380","3541","3314","510","815","589","11552","906","271","279","14604","3606","5808","1431","1284","711","4524","1181"
"0500000US06057","Nevada County, California","99755","*****","92832","1195","310","280","487","491","1243","712","342","479","314","319","4227","1149","0","216","4227","1149"
"0500000US06059","Orange County, California","3175692","*****","1881453","18145","55517","3229","12961","2734","672223","6075","11166","1629","410006","17970","132366","9247","22079","3450","110287","8152"
"0500000US06061","Placer County, California","398329","*****","329697","2636","7771","1167","2238","732","32784","1783","700","430","5421","1768","19718","2576","3400","1050","16318","2537"
"0500000US06065","Riverside County, California","2470546","*****","1478117","22778","163542","5169","20934","2970","172785","5244","8695","1351","517882","22957","108591","9088","30160","5150","78431","7439"
"0500000US06067","Sacramento County, California","1552058","*****","859356","11020","148840","6032","11004","2577","250836","5867","19153","689","138724","10391","124145","9182","19860","3984","104285","8656"
"0500000US06071","San Bernardino County, California","2180085","*****","1351926","19123","181122","6792","17061","2855","160336","3361","8247","1747","346772","19715","114621","10275","36975","5655","77646","8452"
"0500000US06073","San Diego County, California","3338330","*****","2368310","14312","164475","5632","23116","3600","404836","6462","13736","1776","177471","12542","186386","11703","31692","4576","154694","10103"
"0500000US06075","San Francisco County, California","881549","*****","398662","6153","48225","1820","3568","1254","307649","3361","3785","410","69536","6308","50124","5134","10522","3042","39602","4268"
"0500000US06077","San Joaquin County, California","762148","*****","431364","10711","52493","3126","4831","1902","123090","3823","5279","472","55774","8211","89317","9790","7429","2212","81888","9778"
"0500000US06079","San Luis Obispo County, California","283111","*****","242058","3963","5107","1010","3475","2048","11041","823","253","249","11291","3543","9886","1890","808","545","9078","1792"
"0500000US06081","San Mateo County, California","766573","*****","381129","9053","17625","1438","3330","1382","230398","3605","9496","1288","84658","8996","39937","4238","6987","1994","32950","3937"
"0500000US06083","Santa Barbara County, California","446499","*****","343029","7860","9809","1339","5079","2218","25843","1211","447","359","46682","7205","15610","2795","2403","892","13207","2601"
"0500000US06085","Santa Clara County, California","1927852","*****","870226","14395","49308","2912","8607","2085","726712","5211","7082","1059","163090","13379","102827","7806","16152","3754","86675","6193"
"0500000US06087","Santa Cruz County, California","273213","*****","210821","6719","4743","2526","1460","983","14422","1250","212","253","27687","6338","13868","2142","1855","746","12013","2102"
"0500000US06089","Shasta County, California","180080","*****","154887","1995","1878","962","4027","1069","6316","792","550","732","4133","1744","8289","2068","580","338","7709","2024"
"0500000US06095","Solano County, California","447643","*****","240947","6824","61052","2549","2450","1305","69555","2557","4125","712","35039","5767","34475","4698","3875","1390","30600","4233"
"0500000US06097","Sonoma County, California","494336","*****","364751","8080","7410","1258","4392","1790","20748","2107","1864","336","67532","7729","27639","4074","6394","2580","21245","3062"
