"GEO_ID","NAME","B06007_001E","B06007_001M","B06007_002E","B06007_002M","B06007_003E","B06007_003M","B06007_004E","B06007_004M","B06007_005E","B06007_005M","B06007_006E","B06007_006M","B06007_007E","B06007_007M","B06007_008E","B06007_008M","B06007_009E","B06007_009M","B06007_010E","B06007_010M","B06007_011E","B06007_011M","B06007_012E","B06007_012M","B06007_013E","B06007_013M","B06007_014E","B06007_014M","B06007_015E","B06007_015M","B06007_016E","B06007_016M","B06007_017E","B06007_017M","B06007_018E","B06007_018M","B06007_019E","B06007_019M","B06007_020E","B06007_020M","B06007_021E","B06007_021M","B06007_022E","B06007_022M","B06007_023E","B06007_023M","B06007_024E","B06007_024M","B06007_025E","B06007_025M","B06007_026E","B06007_026M","B06007_027E","B06007_027M","B06007_028E","B06007_028M","B06007_029E","B06007_029M","B06007_030E","B06007_030M","B06007_031E","B06007_031M","B06007_032E","B06007_032M","B06007_033E","B06007_033M","B06007_034E","B06007_034M","B06007_035E","B06007_035M","B06007_036E","B06007_036M","B06007_037E","B06007_037M","B06007_038E","B06007_038M","B06007_039E","B06007_039M","B06007_040E","B06007_040M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Speak only English","Margin of Error!!Total:!!Speak only English","Estimate!!Total:!!Speak Spanish:","Margin of Error!!Total:!!Speak Spanish:","Estimate!!Total:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Speak other languages:","Margin of Error!!Total:!!Speak other languages:","Estimate!!Total:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Born in state of residence:","Margin of Error!!Total:!!Born in state of residence:","Estimate!!Total:!!Born in state of residence:!!Speak only English","Margin of Error!!Total:!!Born in state of residence:!!Speak only English","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Born in state of residence:!!Speak other languages:","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:","Estimate!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Born in other state in the United States:","Margin of Error!!Total:!!Born in other state in the United States:","Estimate!!Total:!!Born in other state in the United States:!!Speak only English","Margin of Error!!Total:!!Born in other state in the United States:!!Speak only English","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Native; born outside the United States:","Margin of Error!!Total:!!Native; born outside the United States:","Estimate!!Total:!!Native; born outside the United States:!!Speak only English","Margin of Error!!Total:!!Native; born outside the United States:!!Speak only English","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Speak only English","Margin of Error!!Total:!!Foreign born:!!Speak only English","Estimate!!Total:!!Foreign born:!!Speak Spanish:","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:","Estimate!!Total:!!Foreign born:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Foreign born:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Foreign born:!!Speak other languages:","Margin of Error!!Total:!!Foreign born:!!Speak other languages:","Estimate!!Total:!!Foreign born:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Foreign born:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Foreign born:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign born:!!Speak other languages:!!Speak English less than "very well""
"0500000US06001","Alameda County, California","1576966","411","855542","15409","251039","8471","180514","7830","70525","5410","470385","11555","316675","10144","153710","7079","740483","12001","538133","13707","116988","6403","108264","6345","8724","2156","85362","5471","76590","5519","8772","1507","270004","7959","238642","7605","12805","1885","11049","1791","1756","608","18557","2599","17093","2600","1464","759","27541","3357","13028","2008","4756","1452","4239","1388","517","372","9757","1892","7382","1603","2375","1046","538938","11359","65739","5318","116490","6309","56962","4395","59528","4911","356709","9371","215610","8144","141099","6670"
"0500000US06007","Butte County, California","207205","355","174065","3203","22752","2640","15492","2381","7260","1829","10388","1880","6958","1639","3430","993","148559","3967","131825","3778","11988","2209","10640","1993","1348","705","4746","1275","3438","1097","1308","604","40375","3154","38529","2950","1032","562","704","510","328","300","814","407","706","398","108","139","2571","974","1487","739","723","609","683","613","40","63","361","287","361","287","0","216","15700","2523","2224","646","9009","2354","3465","1335","5544","1703","4467","1072","2453","992","2014","728"
"0500000US06013","Contra Costa County, California","1089315","331","686057","11798","208501","7956","132073","7371","76428","6031","194757","8607","135942","7311","58815","4429","572144","9940","454902","10688","87947","6646","79461","6103","8486","2344","29295","3581","27490","3593","1805","622","196938","8127","181387","8007","7257","1982","6825","1928","432","344","8294","1684","7327","1472","967","738","18808","3120","9900","2122","3623","1554","2391","1159","1232","924","5285","1557","4608","1517","677","510","301425","8686","39868","4006","109674","6291","43396","4987","66278","5473","151883","7359","96517","6129","55366","4288"
"0500000US06017","El Dorado County, California","183799","837","159818","2604","13221","1743","9482","1788","3739","1111","10760","1878","7187","1538","3573","1041","116378","4069","109215","4141","5458","1343","4670","1301","788","638","1705","783","1623","786","82","113","46226","3841","43609","3681","1353","747","1058","659","295","297","1264","811","1229","814","35","68","4004","1502","2442","1087","496","627","421","669","75","137","1066","817","571","510","495","678","17191","2028","4552","1074","5914","1586","3333","1259","2581","1059","6725","1129","3764","1062","2961","774"
"0500000US06019","Fresno County, California","923970","130","507372","12050","325863","11115","184830","9043","141033","8787","90735","5684","52766","4395","37969","4013","614088","10132","413868","11701","174301","8203","138852","7877","35449","4395","25919","3433","19884","2953","6035","1657","98500","6308","76843","5381","16781","2945","12891","2387","3890","1207","4876","1336","3962","1124","914","648","7503","1503","4046","1183","2457","870","1447","653","1010","641","1000","521","605","334","395","393","203879","10311","12615","1875","132324","8626","31640","3821","100684","7574","58940","4638","28315","3517","30625","3213"
"0500000US06023","Humboldt County, California","128752","228","114590","1925","9240","1480","7230","1225","2010","975","4922","1092","3457","987","1465","807","88789","3045","81692","3079","4918","1134","4813","1142","105","119","2179","735","2123","716","56","74","30632","2941","29908","2829","607","692","528","584","79","130","117","141","117","141","0","216","1841","947","1194","670","482","373","424","359","58","100","165","246","165","246","0","216","7490","1599","1796","703","3233","1105","1465","608","1768","976","2461","908","1052","484","1409","798"
"0500000US06025","Imperial County, California","166738","747","36181","3661","127599","3456","69486","5412","58113","5025","2958","982","1000","448","1958","959","93098","5071","25135","3342","67734","5112","51941","5666","15793","3148","229","174","229","174","0","216","14533","2470","9381","1899","4861","1734","3419","1357","1442","807","291","259","201","164","90","168","6176","2253","457","387","5472","2068","2521","1322","2951","1381","247","301","0","216","247","301","52931","4606","1208","589","49532","4509","11605","2142","37927","4048","2191","884","570","408","1621","802"
"0500000US06029","Kern County, California","832101","323","458235","11275","329285","11102","193827","10837","135458","8626","44581","4726","26224","3678","18357","3113","536567","12325","347963","12685","180464","9224","144340","10358","36124","5025","8140","2524","6628","2211","1512","994","109870","7318","91369","7109","16326","3058","13379","2949","2947","1048","2175","850","1682","645","493","484","8386","2556","4822","1217","2975","2179","749","419","2226","2134","589","485","256","245","333","290","177278","8520","14081","2624","129520","7309","35359","4031","94161","6118","33677","3903","17658","2857","16019","3095"
"0500000US06031","Kings County, California","140459","298","80672","3988","53737","3771","17949","2905","35788","4127","6050","1399","3659","1366","2391","599","88139","3625","60864","3900","25645","2557","12527","2244","13118","2140","1630","799","1224","758","406","297","18070","2144","15529","1905","2344","889","1130","535","1214","713","197","153","197","153","0","216","2794","1033","2074","910","431","318","217","228","214","217","289","311","289","311","0","216","31456","3224","2205","1105","25317","3090","4075","1271","21242","3230","3934","911","1949","811","1985","544"
