"GEO_ID","NAME","B08101_001E","B08101_001M","B08101_002E","B08101_002M","B08101_003E","B08101_003M","B08101_004E","B08101_004M","B08101_005E","B08101_005M","B08101_006E","B08101_006M","B08101_007E","B08101_007M","B08101_008E","B08101_008M","B08101_009E","B08101_009M","B08101_010E","B08101_010M","B08101_011E","B08101_011M","B08101_012E","B08101_012M","B08101_013E","B08101_013M","B08101_014E","B08101_014M","B08101_015E","B08101_015M","B08101_016E","B08101_016M","B08101_017E","B08101_017M","B08101_018E","B08101_018M","B08101_019E","B08101_019M","B08101_020E","B08101_020M","B08101_021E","B08101_021M","B08101_022E","B08101_022M","B08101_023E","B08101_023M","B08101_024E","B08101_024M","B08101_025E","B08101_025M","B08101_026E","B08101_026M","B08101_027E","B08101_027M","B08101_028E","B08101_028M","B08101_029E","B08101_029M","B08101_030E","B08101_030M","B08101_031E","B08101_031M","B08101_032E","B08101_032M","B08101_033E","B08101_033M","B08101_034E","B08101_034M","B08101_035E","B08101_035M","B08101_036E","B08101_036M","B08101_037E","B08101_037M","B08101_038E","B08101_038M","B08101_039E","B08101_039M","B08101_040E","B08101_040M","B08101_041E","B08101_041M","B08101_042E","B08101_042M","B08101_043E","B08101_043M","B08101_044E","B08101_044M","B08101_045E","B08101_045M","B08101_046E","B08101_046M","B08101_047E","B08101_047M","B08101_048E","B08101_048M","B08101_049E","B08101_049M","B08101_050E","B08101_050M","B08101_051E","B08101_051M","B08101_052E","B08101_052M","B08101_053E","B08101_053M","B08101_054E","B08101_054M","B08101_055E","B08101_055M","B08101_056E","B08101_056M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!16 to 19 years","Margin of Error!!Total:!!16 to 19 years","Estimate!!Total:!!20 to 24 years","Margin of Error!!Total:!!20 to 24 years","Estimate!!Total:!!25 to 44 years","Margin of Error!!Total:!!25 to 44 years","Estimate!!Total:!!45 to 54 years","Margin of Error!!Total:!!45 to 54 years","Estimate!!Total:!!55 to 59 years","Margin of Error!!Total:!!55 to 59 years","Estimate!!Total:!!60 to 64 years","Margin of Error!!Total:!!60 to 64 years","Estimate!!Total:!!65 years and over","Margin of Error!!Total:!!65 years and over","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!16 to 19 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!16 to 19 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!20 to 24 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!20 to 24 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!25 to 44 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!25 to 44 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!45 to 54 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!45 to 54 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!55 to 59 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!55 to 59 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!60 to 64 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!60 to 64 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!65 years and over","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!65 years and over","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!16 to 19 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!16 to 19 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!20 to 24 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!20 to 24 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!25 to 44 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!25 to 44 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!45 to 54 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!45 to 54 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!55 to 59 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!55 to 59 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!60 to 64 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!60 to 64 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!65 years and over","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!65 years and over","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!16 to 19 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!16 to 19 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!20 to 24 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!20 to 24 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!25 to 44 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!25 to 44 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!45 to 54 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!45 to 54 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!55 to 59 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!55 to 59 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!60 to 64 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!60 to 64 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!65 years and over","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!65 years and over","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!16 to 19 years","Margin of Error!!Total:!!Walked:!!16 to 19 years","Estimate!!Total:!!Walked:!!20 to 24 years","Margin of Error!!Total:!!Walked:!!20 to 24 years","Estimate!!Total:!!Walked:!!25 to 44 years","Margin of Error!!Total:!!Walked:!!25 to 44 years","Estimate!!Total:!!Walked:!!45 to 54 years","Margin of Error!!Total:!!Walked:!!45 to 54 years","Estimate!!Total:!!Walked:!!55 to 59 years","Margin of Error!!Total:!!Walked:!!55 to 59 years","Estimate!!Total:!!Walked:!!60 to 64 years","Margin of Error!!Total:!!Walked:!!60 to 64 years","Estimate!!Total:!!Walked:!!65 years and over","Margin of Error!!Total:!!Walked:!!65 years and over","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!16 to 19 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!16 to 19 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!25 to 44 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!25 to 44 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!45 to 54 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!45 to 54 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!55 to 59 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!55 to 59 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 to 64 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 to 64 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!65 years and over","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!65 years and over","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","Estimate!!Total:!!Worked from home!!16 to 19 years","Margin of Error!!Total:!!Worked from home!!16 to 19 years","Estimate!!Total:!!Worked from home!!20 to 24 years","Margin of Error!!Total:!!Worked from home!!20 to 24 years","Estimate!!Total:!!Worked from home!!25 to 44 years","Margin of Error!!Total:!!Worked from home!!25 to 44 years","Estimate!!Total:!!Worked from home!!45 to 54 years","Margin of Error!!Total:!!Worked from home!!45 to 54 years","Estimate!!Total:!!Worked from home!!55 to 59 years","Margin of Error!!Total:!!Worked from home!!55 to 59 years","Estimate!!Total:!!Worked from home!!60 to 64 years","Margin of Error!!Total:!!Worked from home!!60 to 64 years","Estimate!!Total:!!Worked from home!!65 years and over","Margin of Error!!Total:!!Worked from home!!65 years and over"
"0500000US06001","Alameda County, California","812004","10648","18730","1846","56533","2973","402824","5635","163919","3683","73118","4290","55906","3403","40974","3015","492931","10376","8648","1430","30468","3101","238211","6889","102530","3674","49086","3481","38399","2868","25589","2146","71773","4867","3709","913","4886","1193","34992","3438","15138","2147","5842","887","4065","1047","3141","1003","143362","5926","1941","705","13366","2274","83352","4625","24430","2490","8761","1515","6415","1145","5097","1075","23056","2615","3020","1011","3728","966","9794","1888","2769","801","1565","583","1212","553","968","371","27647","3142","874","432","2171","836","13997","2611","5692","1050","1855","563","1570","804","1488","600","53235","3256","538","331","1914","660","22478","2892","13360","1732","6009","1265","4245","986","4691","908"
"0500000US06007","Butte County, California","93159","3709","5150","1052","12834","1515","39844","2016","16829","1102","6858","1279","5198","1259","6446","1267","70968","3553","3821","1124","10408","1522","30626","2203","12366","1086","5094","1151","3520","958","5133","1101","9440","1811","302","361","1346","564","4512","1116","1999","741","455","328","680","445","146","153","821","547","184","218","12","22","453","484","81","123","0","216","0","216","91","136","3005","936","526","343","404","309","1284","810","374","250","185","222","9","14","223","198","3603","1328","231","260","653","615","1402","886","273","411","601","630","293","285","150","212","5322","1357","86","131","11","24","1567","664","1736","974","523","366","696","473","703","384"
"0500000US06013","Contra Costa County, California","559646","7121","17918","2454","45202","3063","235163","4540","122676","3189","60948","3410","41502","3143","36237","2524","380290","7760","11615","2145","29689","3022","159303","5800","86950","3578","41192","3101","28093","2469","23448","2102","56092","4997","2910","999","7255","1961","23932","3088","11642","2046","5188","1647","3095","1071","2070","649","63846","4543","1035","601","4282","1093","32285","3309","10990","1764","6403","1322","5197","1100","3654","894","9329","3317","844","617","2304","993","3312","2195","1679","739","805","689","116","150","269","199","11115","2286","994","768","1011","528","4480","1614","2016","683","717","388","1120","729","777","484","38974","3917","520","309","661","590","11851","1944","9399","1650","6643","1730","3881","985","6019","1361"
"0500000US06017","El Dorado County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US06019","Fresno County, California","401105","8065","11733","1817","40217","2470","196981","4861","73516","3375","32456","2262","25651","2368","20551","2019","313373","9098","7188","1537","31843","2751","154785","6249","59038","3593","24293","2052","20618","2143","15608","1847","50971","4444","2357","940","5157","1469","25485","3266","9581","1871","3919","1098","2675","1063","1797","615","4150","1138","668","522","708","606","1960","772","312","251","164","180","311","273","27","44","5652","1265","862","700","1020","459","1748","765","1107","593","279","256","382","369","254","185","5476","1538","47","80","696","651","3209","1183","307","245","697","529","402","261","118","143","21483","2606","611","452","793","427","9794","1700","3171","777","3104","1128","1263","585","2747","950"
"0500000US06023","Humboldt County, California","62360","3246","2635","1045","7898","1502","27949","2243","11942","1266","4351","1179","4103","924","3482","904","43223","3174","1885","1022","5954","1296","19261","2145","7666","1208","2974","892","3005","766","2478","826","8595","1959","389","284","563","475","5307","1705","1524","694","290","189","398","280","124","113","418","329","0","216","182","181","0","216","172","288","64","77","0","216","0","216","3866","1097","346","378","786","462","1581","772","724","351","278","325","31","52","120","152","1480","724","0","216","374","547","413","408","386","420","192","221","82","98","33","55","4778","1514","15","36","39","47","1387","817","1470","801","553","386","587","328","727","452"
"0500000US06025","Imperial County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US06029","Kern County, California","347891","6600","10601","1856","38615","3069","174496","4881","63357","3027","26936","2222","20138","2540","13748","1899","283230","7496","7796","1739","28636","3053","144454","5834","52485","3428","21804","2265","17388","2488","10667","1695","42671","4096","2025","891","7835","1840","20711","3235","6221","1334","3257","1222","1634","746","988","505","3546","1295","204","203","128","154","1403","723","1230","880","421","423","160","160","0","216","2107","714","234","303","469","342","531","254","228","236","238","240","8","15","399","264","4051","1603","202","242","1067","1128","1668","951","548","284","327","332","135","123","104","124","12286","2596","140","233","480","381","5729","1695","2645","1064","889","562","813","398","1590","614"
"0500000US06031","Kings County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
