"GEO_ID","id"
"NAME","Geographic Area Name"
"B08101_001E","Estimate!!Total:"
"B08101_001M","Margin of Error!!Total:"
"B08101_002E","Estimate!!Total:!!16 to 19 years"
"B08101_002M","Margin of Error!!Total:!!16 to 19 years"
"B08101_003E","Estimate!!Total:!!20 to 24 years"
"B08101_003M","Margin of Error!!Total:!!20 to 24 years"
"B08101_004E","Estimate!!Total:!!25 to 44 years"
"B08101_004M","Margin of Error!!Total:!!25 to 44 years"
"B08101_005E","Estimate!!Total:!!45 to 54 years"
"B08101_005M","Margin of Error!!Total:!!45 to 54 years"
"B08101_006E","Estimate!!Total:!!55 to 59 years"
"B08101_006M","Margin of Error!!Total:!!55 to 59 years"
"B08101_007E","Estimate!!Total:!!60 to 64 years"
"B08101_007M","Margin of Error!!Total:!!60 to 64 years"
"B08101_008E","Estimate!!Total:!!65 years and over"
"B08101_008M","Margin of Error!!Total:!!65 years and over"
"B08101_009E","Estimate!!Total:!!Car, truck, or van - drove alone:"
"B08101_009M","Margin of Error!!Total:!!Car, truck, or van - drove alone:"
"B08101_010E","Estimate!!Total:!!Car, truck, or van - drove alone:!!16 to 19 years"
"B08101_010M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!16 to 19 years"
"B08101_011E","Estimate!!Total:!!Car, truck, or van - drove alone:!!20 to 24 years"
"B08101_011M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!20 to 24 years"
"B08101_012E","Estimate!!Total:!!Car, truck, or van - drove alone:!!25 to 44 years"
"B08101_012M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!25 to 44 years"
"B08101_013E","Estimate!!Total:!!Car, truck, or van - drove alone:!!45 to 54 years"
"B08101_013M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!45 to 54 years"
"B08101_014E","Estimate!!Total:!!Car, truck, or van - drove alone:!!55 to 59 years"
"B08101_014M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!55 to 59 years"
"B08101_015E","Estimate!!Total:!!Car, truck, or van - drove alone:!!60 to 64 years"
"B08101_015M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!60 to 64 years"
"B08101_016E","Estimate!!Total:!!Car, truck, or van - drove alone:!!65 years and over"
"B08101_016M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!65 years and over"
"B08101_017E","Estimate!!Total:!!Car, truck, or van - carpooled:"
"B08101_017M","Margin of Error!!Total:!!Car, truck, or van - carpooled:"
"B08101_018E","Estimate!!Total:!!Car, truck, or van - carpooled:!!16 to 19 years"
"B08101_018M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!16 to 19 years"
"B08101_019E","Estimate!!Total:!!Car, truck, or van - carpooled:!!20 to 24 years"
"B08101_019M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!20 to 24 years"
"B08101_020E","Estimate!!Total:!!Car, truck, or van - carpooled:!!25 to 44 years"
"B08101_020M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!25 to 44 years"
"B08101_021E","Estimate!!Total:!!Car, truck, or van - carpooled:!!45 to 54 years"
"B08101_021M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!45 to 54 years"
"B08101_022E","Estimate!!Total:!!Car, truck, or van - carpooled:!!55 to 59 years"
"B08101_022M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!55 to 59 years"
"B08101_023E","Estimate!!Total:!!Car, truck, or van - carpooled:!!60 to 64 years"
"B08101_023M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!60 to 64 years"
"B08101_024E","Estimate!!Total:!!Car, truck, or van - carpooled:!!65 years and over"
"B08101_024M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!65 years and over"
"B08101_025E","Estimate!!Total:!!Public transportation (excluding taxicab):"
"B08101_025M","Margin of Error!!Total:!!Public transportation (excluding taxicab):"
"B08101_026E","Estimate!!Total:!!Public transportation (excluding taxicab):!!16 to 19 years"
"B08101_026M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!16 to 19 years"
"B08101_027E","Estimate!!Total:!!Public transportation (excluding taxicab):!!20 to 24 years"
"B08101_027M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!20 to 24 years"
"B08101_028E","Estimate!!Total:!!Public transportation (excluding taxicab):!!25 to 44 years"
"B08101_028M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!25 to 44 years"
"B08101_029E","Estimate!!Total:!!Public transportation (excluding taxicab):!!45 to 54 years"
"B08101_029M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!45 to 54 years"
"B08101_030E","Estimate!!Total:!!Public transportation (excluding taxicab):!!55 to 59 years"
"B08101_030M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!55 to 59 years"
"B08101_031E","Estimate!!Total:!!Public transportation (excluding taxicab):!!60 to 64 years"
"B08101_031M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!60 to 64 years"
"B08101_032E","Estimate!!Total:!!Public transportation (excluding taxicab):!!65 years and over"
"B08101_032M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!65 years and over"
"B08101_033E","Estimate!!Total:!!Walked:"
"B08101_033M","Margin of Error!!Total:!!Walked:"
"B08101_034E","Estimate!!Total:!!Walked:!!16 to 19 years"
"B08101_034M","Margin of Error!!Total:!!Walked:!!16 to 19 years"
"B08101_035E","Estimate!!Total:!!Walked:!!20 to 24 years"
"B08101_035M","Margin of Error!!Total:!!Walked:!!20 to 24 years"
"B08101_036E","Estimate!!Total:!!Walked:!!25 to 44 years"
"B08101_036M","Margin of Error!!Total:!!Walked:!!25 to 44 years"
"B08101_037E","Estimate!!Total:!!Walked:!!45 to 54 years"
"B08101_037M","Margin of Error!!Total:!!Walked:!!45 to 54 years"
"B08101_038E","Estimate!!Total:!!Walked:!!55 to 59 years"
"B08101_038M","Margin of Error!!Total:!!Walked:!!55 to 59 years"
"B08101_039E","Estimate!!Total:!!Walked:!!60 to 64 years"
"B08101_039M","Margin of Error!!Total:!!Walked:!!60 to 64 years"
"B08101_040E","Estimate!!Total:!!Walked:!!65 years and over"
"B08101_040M","Margin of Error!!Total:!!Walked:!!65 years and over"
"B08101_041E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08101_041M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08101_042E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!16 to 19 years"
"B08101_042M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!16 to 19 years"
"B08101_043E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 years"
"B08101_043M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 years"
"B08101_044E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!25 to 44 years"
"B08101_044M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!25 to 44 years"
"B08101_045E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!45 to 54 years"
"B08101_045M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!45 to 54 years"
"B08101_046E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!55 to 59 years"
"B08101_046M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!55 to 59 years"
"B08101_047E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 to 64 years"
"B08101_047M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 to 64 years"
"B08101_048E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!65 years and over"
"B08101_048M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!65 years and over"
"B08101_049E","Estimate!!Total:!!Worked from home"
"B08101_049M","Margin of Error!!Total:!!Worked from home"
"B08101_050E","Estimate!!Total:!!Worked from home!!16 to 19 years"
"B08101_050M","Margin of Error!!Total:!!Worked from home!!16 to 19 years"
"B08101_051E","Estimate!!Total:!!Worked from home!!20 to 24 years"
"B08101_051M","Margin of Error!!Total:!!Worked from home!!20 to 24 years"
"B08101_052E","Estimate!!Total:!!Worked from home!!25 to 44 years"
"B08101_052M","Margin of Error!!Total:!!Worked from home!!25 to 44 years"
"B08101_053E","Estimate!!Total:!!Worked from home!!45 to 54 years"
"B08101_053M","Margin of Error!!Total:!!Worked from home!!45 to 54 years"
"B08101_054E","Estimate!!Total:!!Worked from home!!55 to 59 years"
"B08101_054M","Margin of Error!!Total:!!Worked from home!!55 to 59 years"
"B08101_055E","Estimate!!Total:!!Worked from home!!60 to 64 years"
"B08101_055M","Margin of Error!!Total:!!Worked from home!!60 to 64 years"
"B08101_056E","Estimate!!Total:!!Worked from home!!65 years and over"
"B08101_056M","Margin of Error!!Total:!!Worked from home!!65 years and over"
