"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"0500000US06001","Alameda County, California","1195107","261","29866","2747","94","120","763","708","852","669","941","436","3697","1415","2440","969","2468","1088","11301","2085","2262","732","7170","1486","22872","3140","7177","1305","9075","1679","23084","3627","187281","8319","19080","2202","48035","3678","137614","7155","74221","4964","350691","8126","177336","6625","36129","2916","40658","2872"
"0500000US06007","Butte County, California","143815","634","2329","682","0","216","11","24","277","393","0","216","437","377","331","312","31","57","812","470","244","232","830","502","730","369","3051","1234","2671","988","4858","1578","24455","2580","6807","1513","13602","1961","24449","2473","14060","2090","29686","2622","8018","1354","3200","896","2926","893"
"0500000US06013","Contra Costa County, California","802187","1129","12336","2223","294","304","635","532","316","349","979","748","1592","850","2612","1332","3480","1408","11486","2437","2981","1288","4898","1618","11293","2992","7672","2134","6641","1749","20461","3066","127444","7872","16025","2288","46460","3769","114617","6376","65185","5363","207074","7051","92574","6106","26211","2336","18921","2395"
"0500000US06017","El Dorado County, California","142068","1309","231","215","0","216","0","216","0","216","205","261","379","425","75","137","528","503","887","645","393","508","1332","881","671","572","1616","897","1257","671","2451","792","28023","2640","3615","1029","12046","1807","22467","2467","15701","2061","34900","2753","9683","1588","3467","912","2141","695"
"0500000US06019","Fresno County, California","621440","411","22312","2700","255","259","429","343","1405","936","2675","1108","6257","1572","2797","890","3870","1205","23981","3396","4932","1429","10202","1978","13219","2187","15067","2511","15030","2530","22756","2922","118882","6908","17621","2092","41017","3376","103277","5263","58640","3985","91545","5063","28679","2902","12008","1881","4584","955"
"0500000US06023","Humboldt County, California","93098","959","810","504","0","216","0","216","0","216","0","216","150","198","120","175","61","98","331","343","0","216","513","464","682","432","2007","681","1564","676","2293","886","16083","2178","3152","972","8398","1622","17650","2310","10992","1761","19112","2236","6643","1150","1578","639","959","443"
"0500000US06025","Imperial County, California","111755","520","2374","989","0","216","0","216","387","413","473","396","1741","814","428","364","397","280","5655","1946","449","443","1452","693","6480","1777","4967","1385","4397","1190","2468","957","21748","2942","4302","1140","5796","1291","20570","2390","7102","1768","15536","2377","3744","1320","569","514","720","648"
"0500000US06029","Kern County, California","551956","785","22006","3501","90","153","0","216","1365","836","1436","700","6807","1794","2336","1027","3219","1149","22096","3938","3221","1041","9314","2085","11843","2691","13286","2573","15844","2323","17717","2828","133889","6558","21194","3010","39207","3240","86269","6349","46521","4706","64784","5121","21634","2480","5285","1319","2593","773"
"0500000US06031","Kings County, California","95083","808","2388","916","0","216","111","132","169","185","383","294","1717","526","470","404","732","453","5136","1293","121","106","1619","658","4181","1372","2631","677","4953","1195","2466","1057","17641","2321","3866","891","5281","1297","18127","2106","6346","1366","11434","1713","3373","907","1706","1002","232","271"
