"GEO_ID","NAME","B17001_001E","B17001_001M","B17001_002E","B17001_002M","B17001_003E","B17001_003M","B17001_004E","B17001_004M","B17001_005E","B17001_005M","B17001_006E","B17001_006M","B17001_007E","B17001_007M","B17001_008E","B17001_008M","B17001_009E","B17001_009M","B17001_010E","B17001_010M","B17001_011E","B17001_011M","B17001_012E","B17001_012M","B17001_013E","B17001_013M","B17001_014E","B17001_014M","B17001_015E","B17001_015M","B17001_016E","B17001_016M","B17001_017E","B17001_017M","B17001_018E","B17001_018M","B17001_019E","B17001_019M","B17001_020E","B17001_020M","B17001_021E","B17001_021M","B17001_022E","B17001_022M","B17001_023E","B17001_023M","B17001_024E","B17001_024M","B17001_025E","B17001_025M","B17001_026E","B17001_026M","B17001_027E","B17001_027M","B17001_028E","B17001_028M","B17001_029E","B17001_029M","B17001_030E","B17001_030M","B17001_031E","B17001_031M","B17001_032E","B17001_032M","B17001_033E","B17001_033M","B17001_034E","B17001_034M","B17001_035E","B17001_035M","B17001_036E","B17001_036M","B17001_037E","B17001_037M","B17001_038E","B17001_038M","B17001_039E","B17001_039M","B17001_040E","B17001_040M","B17001_041E","B17001_041M","B17001_042E","B17001_042M","B17001_043E","B17001_043M","B17001_044E","B17001_044M","B17001_045E","B17001_045M","B17001_046E","B17001_046M","B17001_047E","B17001_047M","B17001_048E","B17001_048M","B17001_049E","B17001_049M","B17001_050E","B17001_050M","B17001_051E","B17001_051M","B17001_052E","B17001_052M","B17001_053E","B17001_053M","B17001_054E","B17001_054M","B17001_055E","B17001_055M","B17001_056E","B17001_056M","B17001_057E","B17001_057M","B17001_058E","B17001_058M","B17001_059E","B17001_059M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over"
"0500000US06001","Alameda County, California","1642900","2397","145561","10230","67410","5903","4885","1180","669","499","5492","1251","2433","959","916","541","2461","907","13491","2312","10251","2148","6794","1446","4927","940","5844","1216","5357","1139","3890","922","78151","6361","4534","1460","600","514","4700","1512","3737","1266","653","450","1417","728","13549","2579","12496","1996","7423","1498","7416","1631","8602","1256","6585","1415","6439","1256","1497339","10257","742751","5996","42186","1342","8762","1702","51091","2719","27001","2607","8934","1511","15530","1545","48010","2423","129682","2071","121047","1578","104249","1042","92767","1310","58435","1193","35057","1090","754588","6348","40727","1548","8018","1394","47049","2656","26992","2577","7842","1309","16916","1506","46524","2574","125064","1998","119859","1568","102030","1677","94816","1228","69090","1539","49661","1262"
"0500000US06007","Butte County, California","213523","1305","34050","4265","14457","2516","1185","659","70","76","700","498","772","529","0","216","507","335","4468","1418","2326","747","940","392","1123","511","814","400","1229","634","323","213","19593","2849","609","313","331","340","721","392","620","351","85","97","78","94","6623","1324","3358","982","1129","619","1788","625","1487","630","1567","750","1197","532","179473","4652","91605","2311","4946","684","1203","604","6863","1226","2438","897","1193","483","2173","614","10097","1471","12400","972","12028","725","9755","620","11813","455","10291","643","6405","315","87868","3600","4787","546","447","352","7608","1122","2782","857","1068","430","1944","550","7164","1355","10673","1078","10649","732","9696","774","12289","544","11127","784","7634","706"
"0500000US06013","Contra Costa County, California","1143399","1842","90508","9699","39024","5251","4553","1578","467","415","2932","1092","3075","1233","819","445","1048","488","4485","1376","4718","1426","4019","1342","4759","1245","4071","1243","2656","841","1422","646","51484","5878","2496","1190","876","678","4283","1477","2016","772","1311","726","2587","845","7466","2351","7606","1682","5614","1454","4673","1094","4703","1109","3296","910","4557","1227","1052891","9876","518757","6160","27717","1631","6176","1365","41815","2930","18770","2343","6335","1383","15534","1476","41153","1465","68588","1501","72498","1491","72575","1304","70071","1487","47144","949","30381","851","534134","6266","28293","1248","4912","1215","39820","3363","20551","2700","6192","1232","12842","1508","36618","2397","65023","1805","74507","1613","75882","1088","74670","1415","55225","1083","39599","1368"
"0500000US06017","El Dorado County, California","189968","1253","17736","3511","7160","1685","653","533","11","19","455","327","310","308","0","216","33","57","261","292","1375","935","707","441","820","472","1335","554","816","482","384","331","10576","2492","639","560","310","314","397","293","492","584","137","208","247","212","1425","889","712","448","1545","682","1185","825","2372","925","765","482","350","284","172232","3733","86574","2130","3764","597","1784","612","4655","771","2854","798","927","449","2438","542","6498","731","8666","1118","10038","738","11640","734","14077","595","11991","598","7242","488","85658","2527","3563","448","1311","508","5339","995","2952","847","1031","394","2194","367","4128","1059","8634","838","10496","1032","11059","839","14614","925","11720","655","8617","771"
"0500000US06019","Fresno County, California","981920","2079","202698","13695","90677","7025","11676","1971","1706","834","13562","2407","6796","1434","2721","1048","4073","945","10989","2035","9222","1904","9467","2010","6127","1562","7616","1482","3937","971","2785","870","112021","8115","10675","2086","2064","919","15670","2445","7932","1858","1822","806","3772","1185","10328","1929","17151","2573","14951","2056","7962","1480","7493","1477","6473","1222","5728","1167","779222","14341","396406","7690","25358","2322","5909","1635","34668","2954","18766","2241","5231","1109","10541","1288","35971","1951","67022","2447","54435","2247","47302","1548","42137","1478","30751","982","18315","883","382816","8308","25315","2175","4251","1232","31267","2737","17413","2406","6273","1365","10192","1486","35291","1975","57592","2619","48817","1980","45356","1425","45919","1561","32220","1316","22910","1241"
"0500000US06023","Humboldt County, California","132369","992","25886","3649","11304","1962","309","210","80","105","540","488","581","483","108","128","0","216","1509","868","2443","930","1398","569","1163","586","1759","675","1104","590","310","261","14582","2380","561","408","259","309","1224","564","304","218","157","207","755","489","3067","943","1650","735","1442","857","1317","565","1816","643","1283","588","747","463","106483","3591","53488","2289","2821","476","690","394","3903","723","1851","627","621","296","1020","386","6360","1196","6190","960","7860","914","6306","909","6348","834","6043","709","3475","280","52995","2239","2798","394","543","332","3540","638","1414","489","593","467","379","287","4071","958","7922","1058","6462","948","6117","767","7282","840","7176","732","4698","586"
"0500000US06025","Imperial County, California","170050","1173","42687","8510","17813","3818","2950","1507","179","219","2080","944","1522","717","545","437","813","510","2551","1185","2137","1048","657","445","850","489","1061","634","1212","648","1256","571","24874","5449","3346","1288","515","472","2896","1308","1488","739","503","387","1105","766","1830","850","3117","1289","1712","752","2481","1168","2449","948","1183","648","2249","759","127363","8457","64453","3910","4066","1522","1454","825","7158","1268","1994","750","854","582","1979","840","5577","1204","9210","1178","8322","868","7474","818","8166","816","5026","687","3173","571","62910","5379","3841","1403","1086","784","5641","1430","2107","948","887","597","1720","878","6714","858","8349","1480","8397","835","7442","1292","7200","914","5836","640","3690","792"
"0500000US06029","Kern County, California","872223","2333","166768","15709","75794","7905","7702","1465","2793","1183","12611","2383","7006","2107","2780","1230","2349","1135","7978","1696","8564","2089","5215","1454","5880","1756","7501","1565","3175","1025","2240","958","90974","9449","9416","2469","1699","732","9764","2088","6370","2375","2002","904","3305","1046","9688","2209","11644","2477","13096","2094","8663","1721","7243","1477","5129","1226","2955","1042","705455","15898","360596","8284","25259","1957","5673","1661","30230","3221","16128","2495","6459","1675","9244","1539","36996","1758","60806","2087","50140","1596","41200","1820","37768","1636","25667","1117","15026","1185","344859","9428","23646","2660","5544","1496","32702","3235","15801","2152","6823","1335","8779","1298","31293","2194","53662","2470","41642","2159","39780","1718","39395","1446","28066","1174","17726","1122"
"0500000US06031","Kings County, California","138401","1280","21063","3937","11252","2328","2254","704","425","378","1755","726","471","359","175","219","486","458","1770","832","1400","637","1208","663","319","258","534","344","150","162","305","268","9811","2081","1237","612","83","135","1361","554","942","485","274","260","305","239","422","318","2180","719","1117","536","435","424","425","354","586","282","444","269","117338","3809","58728","2439","4015","865","381","312","4024","980","3856","1182","612","412","1707","624","5962","842","10845","952","7914","771","6960","832","5586","523","4482","487","2384","333","58610","2316","4862","907","634","373","5946","1037","2660","949","1418","699","1029","490","6469","482","8475","766","7207","665","6486","620","6192","462","4047","403","3185","345"
