"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US06001","Alameda County, California","108322","2704"
"0500000US06007","Butte County, California","62563","6056"
"0500000US06013","Contra Costa County, California","107135","3584"
"0500000US06017","El Dorado County, California","87059","6290"
"0500000US06019","Fresno County, California","57518","2684"
"0500000US06023","Humboldt County, California","51662","4720"
"0500000US06025","Imperial County, California","48472","3417"
"0500000US06029","Kern County, California","53067","2168"
"0500000US06031","Kings County, California","58453","5116"
"0500000US06033","Lake County, California","47138","4388"
"0500000US06037","Los Angeles County, California","72797","749"
"0500000US06039","Madera County, California","64827","6251"
"0500000US06041","Marin County, California","110843","6394"
"0500000US06045","Mendocino County, California","51744","4022"
"0500000US06047","Merced County, California","61167","3656"
"0500000US06053","Monterey County, California","77514","3300"
"0500000US06055","Napa County, California","92769","6473"
"0500000US06057","Nevada County, California","68818","7165"
"0500000US06059","Orange County, California","95934","1292"
"0500000US06061","Placer County, California","97723","3589"
"0500000US06065","Riverside County, California","73260","1762"
"0500000US06067","Sacramento County, California","72017","1434"
"0500000US06071","San Bernardino County, California","67903","2115"
"0500000US06073","San Diego County, California","83985","1908"
"0500000US06075","San Francisco County, California","123859","4727"
"0500000US06077","San Joaquin County, California","68997","2715"
"0500000US06079","San Luis Obispo County, California","77265","3750"
"0500000US06081","San Mateo County, California","138500","6761"
"0500000US06083","Santa Barbara County, California","75653","4506"
"0500000US06085","Santa Clara County, California","133076","3515"
"0500000US06087","Santa Cruz County, California","89269","7688"
"0500000US06089","Shasta County, California","63091","3462"
"0500000US06095","Solano County, California","86652","3867"
"0500000US06097","Sonoma County, California","87828","3370"
"0500000US06099","Stanislaus County, California","63037","2741"
"0500000US06101","Sutter County, California","62777","6367"
"0500000US06103","Tehama County, California","53475","13515"
"0500000US06107","Tulare County, California","57692","2874"
"0500000US06111","Ventura County, California","92236","3264"
"0500000US06113","Yolo County, California","71417","4589"
"0500000US06115","Yuba County, California","58765","4763"
"0400000US06","California","80440","313"
