"GEO_ID","NAME","B25104_001E","B25104_001M","B25104_002E","B25104_002M","B25104_003E","B25104_003M","B25104_004E","B25104_004M","B25104_005E","B25104_005M","B25104_006E","B25104_006M","B25104_007E","B25104_007M","B25104_008E","B25104_008M","B25104_009E","B25104_009M","B25104_010E","B25104_010M","B25104_011E","B25104_011M","B25104_012E","B25104_012M","B25104_013E","B25104_013M","B25104_014E","B25104_014M","B25104_015E","B25104_015M","B25104_016E","B25104_016M","B25104_017E","B25104_017M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $100","Margin of Error!!Total:!!Less than $100","Estimate!!Total:!!$100 to $199","Margin of Error!!Total:!!$100 to $199","Estimate!!Total:!!$200 to $299","Margin of Error!!Total:!!$200 to $299","Estimate!!Total:!!$300 to $399","Margin of Error!!Total:!!$300 to $399","Estimate!!Total:!!$400 to $499","Margin of Error!!Total:!!$400 to $499","Estimate!!Total:!!$500 to $599","Margin of Error!!Total:!!$500 to $599","Estimate!!Total:!!$600 to $699","Margin of Error!!Total:!!$600 to $699","Estimate!!Total:!!$700 to $799","Margin of Error!!Total:!!$700 to $799","Estimate!!Total:!!$800 to $899","Margin of Error!!Total:!!$800 to $899","Estimate!!Total:!!$900 to $999","Margin of Error!!Total:!!$900 to $999","Estimate!!Total:!!$1,000 to $1,499","Margin of Error!!Total:!!$1,000 to $1,499","Estimate!!Total:!!$1,500 to $1,999","Margin of Error!!Total:!!$1,500 to $1,999","Estimate!!Total:!!$2,000 to $2,499","Margin of Error!!Total:!!$2,000 to $2,499","Estimate!!Total:!!$2,500 to $2,999","Margin of Error!!Total:!!$2,500 to $2,999","Estimate!!Total:!!$3,000 or more","Margin of Error!!Total:!!$3,000 or more","Estimate!!Total:!!No cash rent","Margin of Error!!Total:!!No cash rent"
"0500000US06001","Alameda County, California","585632","3709","2054","642","3092","1097","9532","1633","11960","1569","11270","1608","11163","1656","13891","1936","14493","1927","15388","2102","12727","1795","71650","3813","83334","4512","91270","4696","75025","3925","153310","5583","5473","1089"
"0500000US06007","Butte County, California","77651","1790","189","175","879","495","2449","649","3127","901","3769","999","4043","1014","3561","1139","5421","1100","5582","1223","4375","1030","19214","2084","8957","1290","7091","1302","4332","1036","2874","939","1788","696"
"0500000US06013","Contra Costa County, California","399792","2910","803","487","2248","761","5412","1285","5892","1152","7809","1508","8481","1557","8956","1665","10507","2080","7344","1620","11061","1681","54217","3723","61535","4202","66283","4653","44961","3090","99930","3999","4353","1043"
"0500000US06017","El Dorado County, California","74216","2393","182","194","524","410","691","568","2371","1022","2880","729","3716","1049","3256","1037","3093","1089","2943","924","3437","1137","13437","1975","12488","1673","7182","1299","6583","1397","10735","1434","698","485"
"0500000US06019","Fresno County, California","315974","2193","1355","610","4091","992","7435","1351","12480","1975","14323","2167","13846","2092","14650","2065","19642","2311","17769","2259","20712","2636","81739","4931","54016","3493","24961","2358","12737","1842","10262","1574","5956","1221"
"0500000US06023","Humboldt County, California","55692","1614","148","113","1659","653","2997","1041","2313","764","3207","939","2803","845","2747","809","2261","753","4261","1180","3925","1295","11950","2012","7220","1385","5085","1415","2342","926","1585","554","1189","688"
"0500000US06025","Imperial County, California","48182","1865","115","136","892","431","2805","765","2952","852","2753","920","3358","1044","3390","1118","4182","1300","2779","1111","3774","1101","9923","2011","6412","1674","2546","997","819","421","600","441","882","389"
"0500000US06029","Kern County, California","272888","3419","744","450","3453","1056","8294","1805","10771","2010","14212","2208","13837","2491","15141","2020","19661","2290","20568","2810","17554","2747","70900","4083","41397","3906","19451","2577","6627","1845","7259","1760","3019","767"
"0500000US06031","Kings County, California","44761","1150","102","130","438","267","1535","685","2157","774","2480","956","2382","790","3028","1122","2569","797","3306","1027","2974","899","11576","1709","7471","1368","2065","653","985","606","701","501","992","391"
