Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
11/25/2020,02/01/2020,11/21/2020,AK,Anchorage Borough,2020,Medium metro,65,1714
11/25/2020,02/01/2020,11/21/2020,AK,Fairbanks North Star Borough,2090,Small metro,17,415
11/25/2020,02/01/2020,11/21/2020,AL,Autauga County,1001,Medium metro,30,416
11/25/2020,02/01/2020,11/21/2020,AL,Baldwin County,1003,Small metro,95,1813
11/25/2020,02/01/2020,11/21/2020,AL,Barbour County,1005,Noncore,16,223
11/25/2020,02/01/2020,11/21/2020,AL,Bibb County,1007,Large fringe metro,19,158
11/25/2020,02/01/2020,11/21/2020,AL,Blount County,1009,Large fringe metro,12,402
11/25/2020,02/01/2020,11/21/2020,AL,Butler County,1013,Noncore,27,187
11/25/2020,02/01/2020,11/21/2020,AL,Calhoun County,1015,Small metro,119,1295
11/25/2020,02/01/2020,11/21/2020,AL,Chambers County,1017,Micropolitan,10,308
11/25/2020,02/01/2020,11/21/2020,AL,Cherokee County,1019,Noncore,10,249
11/25/2020,02/01/2020,11/21/2020,AL,Chilton County,1021,Large fringe metro,19,332
11/25/2020,02/01/2020,11/21/2020,AL,Choctaw County,1023,Noncore,10,93
11/25/2020,02/01/2020,11/21/2020,AL,Clay County,1027,Noncore,31,160
11/25/2020,02/01/2020,11/21/2020,AL,Coffee County,1031,Micropolitan,16,430
11/25/2020,02/01/2020,11/21/2020,AL,Colbert County,1033,Small metro,51,531
11/25/2020,02/01/2020,11/21/2020,AL,Covington County,1039,Noncore,58,474
11/25/2020,02/01/2020,11/21/2020,AL,Crenshaw County,1041,Noncore,26,162
11/25/2020,02/01/2020,11/21/2020,AL,Cullman County,1043,Micropolitan,46,871
11/25/2020,02/01/2020,11/21/2020,AL,Dale County,1045,Micropolitan,53,384
11/25/2020,02/01/2020,11/21/2020,AL,Dallas County,1047,Micropolitan,47,395
11/25/2020,02/01/2020,11/21/2020,AL,DeKalb County,1049,Noncore,31,578
11/25/2020,02/01/2020,11/21/2020,AL,Elmore County,1051,Medium metro,37,559
11/25/2020,02/01/2020,11/21/2020,AL,Escambia County,1053,Noncore,22,315
11/25/2020,02/01/2020,11/21/2020,AL,Etowah County,1055,Small metro,156,1376
11/25/2020,02/01/2020,11/21/2020,AL,Franklin County,1059,Noncore,14,250
11/25/2020,02/01/2020,11/21/2020,AL,Geneva County,1061,Small metro,15,278
11/25/2020,02/01/2020,11/21/2020,AL,Houston County,1069,Small metro,286,1714
11/25/2020,02/01/2020,11/21/2020,AL,Jackson County,1071,Micropolitan,22,524
11/25/2020,02/01/2020,11/21/2020,AL,Jefferson County,1073,Large central metro,739,8318
11/25/2020,02/01/2020,11/21/2020,AL,Lauderdale County,1077,Small metro,90,1209
11/25/2020,02/01/2020,11/21/2020,AL,Lee County,1081,Small metro,159,1091
11/25/2020,02/01/2020,11/21/2020,AL,Limestone County,1083,Medium metro,44,688
11/25/2020,02/01/2020,11/21/2020,AL,Madison County,1089,Medium metro,185,3481
11/25/2020,02/01/2020,11/21/2020,AL,Marengo County,1091,Noncore,17,199
11/25/2020,02/01/2020,11/21/2020,AL,Marion County,1093,Noncore,27,326
11/25/2020,02/01/2020,11/21/2020,AL,Marshall County,1095,Micropolitan,61,996
11/25/2020,02/01/2020,11/21/2020,AL,Mobile County,1097,Medium metro,482,4525
11/25/2020,02/01/2020,11/21/2020,AL,Montgomery County,1101,Medium metro,384,2667
11/25/2020,02/01/2020,11/21/2020,AL,Morgan County,1103,Small metro,72,1136
11/25/2020,02/01/2020,11/21/2020,AL,Pike County,1109,Micropolitan,17,245
11/25/2020,02/01/2020,11/21/2020,AL,Randolph County,1111,Noncore,12,177
11/25/2020,02/01/2020,11/21/2020,AL,Russell County,1113,Medium metro,15,326
11/25/2020,02/01/2020,11/21/2020,AL,St. Clair County,1115,Large fringe metro,47,659
11/25/2020,02/01/2020,11/21/2020,AL,Shelby County,1117,Large fringe metro,96,1228
11/25/2020,02/01/2020,11/21/2020,AL,Talladega County,1121,Micropolitan,40,728
11/25/2020,02/01/2020,11/21/2020,AL,Tallapoosa County,1123,Noncore,73,455
11/25/2020,02/01/2020,11/21/2020,AL,Tuscaloosa County,1125,Small metro,263,1993
11/25/2020,02/01/2020,11/21/2020,AL,Walker County,1127,Large fringe metro,77,847
11/25/2020,02/01/2020,11/21/2020,AL,Washington County,1129,Noncore,10,105
11/25/2020,02/01/2020,11/21/2020,AL,Winston County,1133,Noncore,11,235
11/25/2020,02/01/2020,11/21/2020,AR,Baxter County,5005,Micropolitan,48,773
11/25/2020,02/01/2020,11/21/2020,AR,Benton County,5007,Medium metro,181,1626
11/25/2020,02/01/2020,11/21/2020,AR,Boone County,5009,Micropolitan,32,366
11/25/2020,02/01/2020,11/21/2020,AR,Carroll County,5015,Noncore,10,178
11/25/2020,02/01/2020,11/21/2020,AR,Chicot County,5017,Noncore,13,91
11/25/2020,02/01/2020,11/21/2020,AR,Clark County,5019,Micropolitan,12,192
11/25/2020,02/01/2020,11/21/2020,AR,Clay County,5021,Noncore,11,150
11/25/2020,02/01/2020,11/21/2020,AR,Columbia County,5027,Micropolitan,21,230
11/25/2020,02/01/2020,11/21/2020,AR,Craighead County,5031,Small metro,238,1846
11/25/2020,02/01/2020,11/21/2020,AR,Crawford County,5033,Medium metro,10,378
11/25/2020,02/01/2020,11/21/2020,AR,Crittenden County,5035,Large fringe metro,22,302
11/25/2020,02/01/2020,11/21/2020,AR,Faulkner County,5045,Medium metro,66,901
11/25/2020,02/01/2020,11/21/2020,AR,Fulton County,5049,Noncore,10,130
11/25/2020,02/01/2020,11/21/2020,AR,Garland County,5051,Small metro,137,1524
11/25/2020,02/01/2020,11/21/2020,AR,Hot Spring County,5059,Micropolitan,10,242
11/25/2020,02/01/2020,11/21/2020,AR,Howard County,5061,Noncore,11,125
11/25/2020,02/01/2020,11/21/2020,AR,Independence County,5063,Micropolitan,77,467
11/25/2020,02/01/2020,11/21/2020,AR,Jefferson County,5069,Small metro,106,817
11/25/2020,02/01/2020,11/21/2020,AR,Lawrence County,5075,Noncore,16,138
11/25/2020,02/01/2020,11/21/2020,AR,Little River County,5081,Small metro,25,129
11/25/2020,02/01/2020,11/21/2020,AR,Lonoke County,5085,Medium metro,23,392
11/25/2020,02/01/2020,11/21/2020,AR,Mississippi County,5093,Micropolitan,24,318
11/25/2020,02/01/2020,11/21/2020,AR,Newton County,5101,Micropolitan,13,83
11/25/2020,02/01/2020,11/21/2020,AR,Poinsett County,5111,Small metro,11,141
11/25/2020,02/01/2020,11/21/2020,AR,Pope County,5115,Micropolitan,26,556
11/25/2020,02/01/2020,11/21/2020,AR,Pulaski County,5119,Medium metro,407,5442
11/25/2020,02/01/2020,11/21/2020,AR,Randolph County,5121,Noncore,15,141
11/25/2020,02/01/2020,11/21/2020,AR,Saline County,5125,Medium metro,42,774
11/25/2020,02/01/2020,11/21/2020,AR,Sebastian County,5131,Medium metro,173,1953
11/25/2020,02/01/2020,11/21/2020,AR,Stone County,5137,Noncore,15,135
11/25/2020,02/01/2020,11/21/2020,AR,Union County,5139,Micropolitan,55,476
11/25/2020,02/01/2020,11/21/2020,AR,Washington County,5143,Medium metro,211,2022
11/25/2020,02/01/2020,11/21/2020,AR,White County,5145,Micropolitan,58,804
11/25/2020,02/01/2020,11/21/2020,AZ,Apache County,4001,Noncore,44,456
